date,time,workday,weather,0174-1,0855-1,1010-1
2020-10-01,0.0,1,good,146.0,151.0,93.0
2020-10-01,1.0,1,good,81.0,121.0,62.0
2020-10-01,2.0,1,good,62.0,83.0,53.0
2020-10-01,3.0,1,good,103.0,113.0,66.0
2020-10-01,4.0,1,good,213.0,299.0,156.0
2020-10-01,5.0,1,good,1088.0,1443.0,958.0
2020-10-01,6.0,1,good,3216.0,3451.0,2384.0
2020-10-01,7.0,1,good,,3762.0,2746.0
2020-10-01,8.0,1,good,3286.0,2905.0,2243.0
2020-10-01,9.0,1,good,2367.0,2377.0,1764.0
2020-10-01,10.0,1,good,2295.0,2293.0,1705.0
2020-10-01,11.0,1,good,2270.0,2368.0,1752.0
2020-10-01,12.0,1,good,2523.0,2618.0,1946.0
2020-10-01,13.0,1,good,2593.0,2767.0,1990.0
2020-10-01,14.0,1,good,2947.0,2891.0,2081.0
2020-10-01,15.0,1,good,2627.0,3234.0,2027.0
2020-10-01,16.0,1,good,2536.0,3082.0,2092.0
2020-10-01,17.0,1,good,2698.0,2671.0,1994.0
2020-10-01,18.0,1,good,2299.0,2213.0,1674.0
2020-10-01,19.0,1,good,2018.0,1847.0,1437.0
2020-10-01,20.0,1,good,1301.0,1334.0,972.0
2020-10-01,21.0,1,good,854.0,810.0,613.0
2020-10-01,22.0,1,good,586.0,539.0,381.0
2020-10-01,23.0,1,good,319.0,294.0,211.0
2020-10-02,0.0,1,good,138.0,159.0,106.0
2020-10-02,1.0,1,good,92.0,98.0,67.0
2020-10-02,2.0,1,good,80.0,105.0,61.0
2020-10-02,3.0,1,good,92.0,115.0,63.0
2020-10-02,4.0,1,good,241.0,314.0,178.0
2020-10-02,5.0,1,good,1142.0,1392.0,945.0
2020-10-02,6.0,1,good,3095.0,3343.0,2287.0
2020-10-02,7.0,1,good,3875.0,3608.0,2753.0
2020-10-02,8.0,1,good,3250.0,2682.0,2080.0
2020-10-02,9.0,1,good,2392.0,2163.0,1719.0
2020-10-02,10.0,1,good,2399.0,2322.0,1796.0
2020-10-02,11.0,1,good,2472.0,2530.0,1848.0
2020-10-02,12.0,1,good,2692.0,2687.0,1948.0
2020-10-02,13.0,1,good,2911.0,2921.0,2172.0
2020-10-02,14.0,1,good,2235.0,2992.0,2194.0
2020-10-02,15.0,1,good,1917.0,3238.0,2012.0
2020-10-02,16.0,1,good,2568.0,3028.0,2051.0
2020-10-02,17.0,1,good,2830.0,2738.0,2081.0
2020-10-02,18.0,1,good,2199.0,2089.0,1567.0
2020-10-02,19.0,1,good,1879.0,1810.0,1301.0
2020-10-02,20.0,1,good,1384.0,1338.0,979.0
2020-10-02,21.0,1,good,948.0,895.0,631.0
2020-10-02,22.0,1,good,741.0,619.0,440.0
2020-10-02,23.0,1,good,456.0,422.0,295.0
2020-10-03,0.0,0,good,238.0,257.0,191.0
2020-10-03,1.0,0,good,162.0,188.0,121.0
2020-10-03,2.0,0,good,93.0,104.0,64.0
2020-10-03,3.0,0,good,82.0,108.0,75.0
2020-10-03,4.0,0,good,129.0,183.0,115.0
2020-10-03,5.0,0,good,337.0,366.0,242.0
2020-10-03,6.0,0,good,636.0,719.0,449.0
2020-10-03,7.0,0,good,1085.0,983.0,665.0
2020-10-03,8.0,0,good,1404.0,1334.0,976.0
2020-10-03,9.0,0,good,1809.0,1674.0,1241.0
2020-10-03,10.0,0,good,2080.0,1935.0,1359.0
2020-10-03,11.0,0,good,2139.0,2153.0,1507.0
2020-10-03,12.0,0,good,2152.0,2179.0,1583.0
2020-10-03,13.0,0,good,1979.0,2021.0,1406.0
2020-10-03,14.0,0,good,1921.0,1821.0,1300.0
2020-10-03,15.0,0,good,1889.0,1848.0,1278.0
2020-10-03,16.0,0,good,1773.0,1719.0,1099.0
2020-10-03,17.0,0,good,1512.0,1603.0,536.0
2020-10-03,18.0,0,good,1483.0,1462.0,939.0
2020-10-03,19.0,0,good,1261.0,1423.0,982.0
2020-10-03,20.0,0,good,1012.0,1064.0,717.0
2020-10-03,21.0,0,good,789.0,772.0,533.0
2020-10-03,22.0,0,good,502.0,513.0,327.0
2020-10-03,23.0,0,good,361.0,328.0,223.0
2020-10-04,0.0,0,good,231.0,252.0,154.0
2020-10-04,1.0,0,good,126.0,154.0,82.0
2020-10-04,2.0,0,good,88.0,124.0,69.0
2020-10-04,3.0,0,good,65.0,104.0,63.0
2020-10-04,4.0,0,good,55.0,103.0,44.0
2020-10-04,5.0,0,good,136.0,170.0,108.0
2020-10-04,6.0,0,good,271.0,296.0,164.0
2020-10-04,7.0,0,good,369.0,428.0,216.0
2020-10-04,8.0,0,good,660.0,687.0,419.0
2020-10-04,9.0,0,good,1059.0,1059.0,630.0
2020-10-04,10.0,0,good,1306.0,1401.0,787.0
2020-10-04,11.0,0,good,1454.0,1616.0,891.0
2020-10-04,12.0,0,good,1474.0,1722.0,919.0
2020-10-04,13.0,0,good,1465.0,1624.0,971.0
2020-10-04,14.0,0,good,1460.0,1721.0,1020.0
2020-10-04,15.0,0,good,1532.0,1990.0,1116.0
2020-10-04,16.0,0,good,1569.0,2147.0,1217.0
2020-10-04,17.0,0,good,1751.0,2329.0,1371.0
2020-10-04,18.0,0,good,1748.0,2484.0,1446.0
2020-10-04,19.0,0,good,1612.0,2174.0,1348.0
2020-10-04,20.0,0,good,1052.0,1502.0,917.0
2020-10-04,21.0,0,good,651.0,945.0,556.0
2020-10-04,22.0,0,good,363.0,521.0,276.0
2020-10-04,23.0,0,good,201.0,321.0,165.0
2020-10-05,0.0,1,good,111.0,211.0,92.0
2020-10-05,1.0,1,good,72.0,199.0,65.0
2020-10-05,2.0,1,good,85.0,179.0,58.0
