date,time,workday,weather,1003-116-1,9000000656-1,9000000655-2
2019-03-01,0.0,1,bad,78.0,,
2019-03-01,1.0,1,bad,31.0,,
2019-03-01,2.0,1,bad,20.0,,
2019-03-01,3.0,1,bad,18.0,,
2019-03-01,4.0,1,bad,32.0,,
2019-03-01,5.0,1,bad,118.0,,
2019-03-01,6.0,1,bad,305.0,,
2019-03-01,7.0,1,bad,466.0,,
2019-03-01,8.0,1,bad,460.0,,
2019-03-01,9.0,1,bad,524.0,,
2019-03-01,10.0,1,bad,573.0,,
2019-03-01,11.0,1,bad,606.0,,
2019-03-01,12.0,1,bad,673.0,,
2019-03-01,13.0,1,bad,714.0,,
2019-03-01,14.0,1,bad,802.0,,
2019-03-01,15.0,1,bad,872.0,,
2019-03-01,16.0,1,bad,796.0,,
2019-03-01,17.0,1,bad,637.0,,
2019-03-01,18.0,1,bad,593.0,,
2019-03-01,19.0,1,bad,482.0,,
2019-03-01,20.0,1,bad,398.0,,
2019-03-01,21.0,1,bad,252.0,,
2019-03-01,22.0,1,bad,190.0,,
2019-03-01,23.0,1,bad,136.0,,
2019-03-02,0.0,0,good,95.0,,
2019-03-02,1.0,0,good,64.0,,
2019-03-02,2.0,0,good,37.0,,
2019-03-02,3.0,0,good,39.0,,
2019-03-02,4.0,0,good,40.0,,
2019-03-02,5.0,0,good,68.0,,
2019-03-02,6.0,0,good,159.0,,
2019-03-02,7.0,0,good,217.0,,
2019-03-02,8.0,0,good,290.0,,
2019-03-02,9.0,0,good,378.0,,
2019-03-02,10.0,0,good,429.0,,
2019-03-02,11.0,0,good,456.0,,
2019-03-02,12.0,0,good,507.0,,
2019-03-02,13.0,0,good,502.0,,
2019-03-02,14.0,0,good,477.0,,
2019-03-02,15.0,0,good,448.0,,
2019-03-02,16.0,0,good,455.0,,
2019-03-02,17.0,0,good,475.0,,
2019-03-02,18.0,0,good,426.0,,
2019-03-02,19.0,0,good,404.0,,
2019-03-02,20.0,0,good,306.0,,
2019-03-02,21.0,0,good,231.0,,
2019-03-02,22.0,0,good,237.0,,
2019-03-02,23.0,0,good,140.0,,
2019-03-03,0.0,0,good,104.0,,
2019-03-03,1.0,0,good,77.0,,
2019-03-03,2.0,0,good,55.0,,
2019-03-03,3.0,0,good,48.0,,
2019-03-03,4.0,0,good,57.0,,
2019-03-03,5.0,0,good,61.0,,
2019-03-03,6.0,0,good,97.0,,
2019-03-03,7.0,0,good,120.0,,
2019-03-03,8.0,0,good,187.0,,
2019-03-03,9.0,0,good,298.0,,
2019-03-03,10.0,0,good,400.0,,
2019-03-03,11.0,0,good,467.0,,
2019-03-03,12.0,0,good,504.0,,
2019-03-03,13.0,0,good,399.0,,
2019-03-03,14.0,0,good,461.0,,
2019-03-03,15.0,0,good,450.0,,
2019-03-03,16.0,0,good,503.0,,
2019-03-03,17.0,0,good,501.0,,
2019-03-03,18.0,0,good,515.0,,
2019-03-03,19.0,0,good,426.0,,
2019-03-03,20.0,0,good,294.0,,
2019-03-03,21.0,0,good,214.0,,
2019-03-03,22.0,0,good,137.0,,
2019-03-03,23.0,0,good,72.0,,
2019-03-04,0.0,1,bad,27.0,,
2019-03-04,1.0,1,bad,22.0,,
2019-03-04,2.0,1,bad,14.0,,
2019-03-04,3.0,1,bad,14.0,,
2019-03-04,4.0,1,bad,25.0,,
2019-03-04,5.0,1,bad,131.0,,
2019-03-04,6.0,1,bad,331.0,,
2019-03-04,7.0,1,bad,517.0,,
2019-03-04,8.0,1,bad,494.0,,
