date,time,workday,weather,1040-236-2,9000000820-2,9000001506-2
2019-03-01,0.0,1,bad,9.0,,
2019-03-01,1.0,1,bad,6.0,,
2019-03-01,2.0,1,bad,4.0,,
2019-03-01,3.0,1,bad,9.0,,
2019-03-01,4.0,1,bad,25.0,,
2019-03-01,5.0,1,bad,160.0,,
2019-03-01,6.0,1,bad,533.0,,
2019-03-01,7.0,1,bad,569.0,,
2019-03-01,8.0,1,bad,346.0,,
2019-03-01,9.0,1,bad,252.0,,
2019-03-01,10.0,1,bad,204.0,,
2019-03-01,11.0,1,bad,194.0,,
2019-03-01,12.0,1,bad,183.0,,
2019-03-01,13.0,1,bad,199.0,,
2019-03-01,14.0,1,bad,179.0,,
2019-03-01,15.0,1,bad,224.0,,
2019-03-01,16.0,1,bad,179.0,,
2019-03-01,17.0,1,bad,194.0,,
2019-03-01,18.0,1,bad,157.0,,
2019-03-01,19.0,1,bad,141.0,,
2019-03-01,20.0,1,bad,78.0,,
2019-03-01,21.0,1,bad,61.0,,
2019-03-01,22.0,1,bad,45.0,,
2019-03-01,23.0,1,bad,23.0,,
2019-03-02,0.0,0,good,15.0,,
2019-03-02,1.0,0,good,10.0,,
2019-03-02,2.0,0,good,6.0,,
2019-03-02,3.0,0,good,4.0,,
2019-03-02,4.0,0,good,16.0,,
2019-03-02,5.0,0,good,61.0,,
2019-03-02,6.0,0,good,99.0,,
2019-03-02,7.0,0,good,114.0,,
2019-03-02,8.0,0,good,145.0,,
2019-03-02,9.0,0,good,160.0,,
2019-03-02,10.0,0,good,157.0,,
2019-03-02,11.0,0,good,159.0,,
2019-03-02,12.0,0,good,143.0,,
2019-03-02,13.0,0,good,166.0,,
2019-03-02,14.0,0,good,130.0,,
2019-03-02,15.0,0,good,158.0,,
2019-03-02,16.0,0,good,167.0,,
2019-03-02,17.0,0,good,181.0,,
2019-03-02,18.0,0,good,193.0,,
2019-03-02,19.0,0,good,147.0,,
2019-03-02,20.0,0,good,115.0,,
2019-03-02,21.0,0,good,62.0,,
2019-03-02,22.0,0,good,43.0,,
2019-03-02,23.0,0,good,27.0,,
2019-03-03,0.0,0,good,23.0,,
2019-03-03,1.0,0,good,23.0,,
2019-03-03,2.0,0,good,10.0,,
2019-03-03,3.0,0,good,13.0,,
2019-03-03,4.0,0,good,20.0,,
2019-03-03,5.0,0,good,31.0,,
2019-03-03,6.0,0,good,38.0,,
2019-03-03,7.0,0,good,59.0,,
2019-03-03,8.0,0,good,84.0,,
2019-03-03,9.0,0,good,139.0,,
2019-03-03,10.0,0,good,128.0,,
2019-03-03,11.0,0,good,126.0,,
2019-03-03,12.0,0,good,158.0,,
2019-03-03,13.0,0,good,143.0,,
2019-03-03,14.0,0,good,174.0,,
2019-03-03,15.0,0,good,229.0,,
2019-03-03,16.0,0,good,266.0,,
2019-03-03,17.0,0,good,265.0,,
2019-03-03,18.0,0,good,216.0,,
2019-03-03,19.0,0,good,125.0,,
2019-03-03,20.0,0,good,81.0,,
2019-03-03,21.0,0,good,37.0,,
2019-03-03,22.0,0,good,22.0,,
2019-03-03,23.0,0,good,15.0,,
2019-03-04,0.0,1,bad,4.0,,
2019-03-04,1.0,1,bad,6.0,,
2019-03-04,2.0,1,bad,4.0,,
2019-03-04,3.0,1,bad,5.0,,
2019-03-04,4.0,1,bad,39.0,,
2019-03-04,5.0,1,bad,186.0,,
2019-03-04,6.0,1,bad,,,
2019-03-04,7.0,1,bad,,,
2019-03-04,8.0,1,bad,468.0,,
2019-03-04,9.0,1,bad,234.0,,
2019-03-04,10.0,1,bad,208.0,,
2019-03-04,11.0,1,bad,200.0,,
2019-03-04,12.0,1,bad,213.0,,
2019-03-04,13.0,1,bad,230.0,,
2019-03-04,14.0,1,bad,201.0,,
2019-03-04,17.0,1,bad,251.0,,
2019-03-04,18.0,1,bad,213.0,,
2019-03-04,19.0,1,bad,136.0,,
2019-03-04,20.0,1,bad,89.0,,
2019-03-04,21.0,1,bad,69.0,,
2019-03-04,22.0,1,bad,28.0,,
2019-03-04,23.0,1,bad,10.0,,
2019-03-05,0.0,1,good,6.0,,
2019-03-05,1.0,1,good,6.0,,
2019-03-05,2.0,1,good,2.0,,
2019-03-05,3.0,1,good,6.0,,
2019-03-05,4.0,1,good,28.0,,
2019-03-05,5.0,1,good,202.0,,
2019-03-05,6.0,1,good,,,
2019-03-05,7.0,1,good,,,
2019-03-05,8.0,1,good,468.0,,
2019-03-05,9.0,1,good,231.0,,
2019-03-05,10.0,1,good,225.0,,
2019-03-05,11.0,1,good,189.0,,
2019-03-05,12.0,1,good,203.0,,
2019-03-05,13.0,1,good,174.0,,
2019-03-05,14.0,1,good,242.0,,
2019-03-05,17.0,1,good,262.0,,
2019-03-05,18.0,1,good,236.0,,
2019-03-05,19.0,1,good,142.0,,
2019-03-05,20.0,1,good,99.0,,
2019-03-05,21.0,1,good,67.0,,
2019-03-05,22.0,1,good,28.0,,
2019-03-05,23.0,1,good,15.0,,
2019-03-06,0.0,1,good,3.0,,
2019-03-06,1.0,1,good,5.0,,
2019-03-06,2.0,1,good,6.0,,
2019-03-06,3.0,1,good,13.0,,
2019-03-06,4.0,1,good,43.0,,
2019-03-06,5.0,1,good,180.0,,
2019-03-06,6.0,1,good,,,
2019-03-06,7.0,1,good,,,
2019-03-06,8.0,1,good,443.0,,
2019-03-06,9.0,1,good,270.0,,
2019-03-06,10.0,1,good,201.0,,
2019-03-06,11.0,1,good,201.0,,
2019-03-06,12.0,1,good,201.0,,
2019-03-06,13.0,1,good,219.0,,
2019-03-06,14.0,1,good,218.0,,
2019-03-06,17.0,1,good,258.0,,
2019-03-06,18.0,1,good,261.0,,
2019-03-06,19.0,1,good,145.0,,
2019-03-06,20.0,1,good,80.0,,
2019-03-06,21.0,1,good,56.0,,
2019-03-06,22.0,1,good,29.0,,
2019-03-06,23.0,1,good,13.0,,
2019-03-07,0.0,1,good,8.0,,
2019-03-07,1.0,1,good,8.0,,
2019-03-07,2.0,1,good,4.0,,
2019-03-07,3.0,1,good,8.0,,
2019-03-07,4.0,1,good,32.0,,
2019-03-07,5.0,1,good,191.0,,
2019-03-07,6.0,1,good,,,
2019-03-07,7.0,1,good,,,
2019-03-07,8.0,1,good,442.0,,
2019-03-07,9.0,1,good,260.0,,
2019-03-07,10.0,1,good,204.0,,
2019-03-07,11.0,1,good,210.0,,
2019-03-07,12.0,1,good,206.0,,
2019-03-07,13.0,1,good,213.0,,
2019-03-07,14.0,1,good,235.0,,
2019-03-07,16.0,1,good,280.0,,
2019-03-07,17.0,1,good,277.0,,
2019-03-07,18.0,1,good,217.0,,
2019-03-07,19.0,1,good,154.0,,
2019-03-07,20.0,1,good,98.0,,
2019-03-07,21.0,1,good,57.0,,
2019-03-07,22.0,1,good,33.0,,
2019-03-07,23.0,1,good,27.0,,
2019-03-08,0.0,1,good,4.0,,
2019-03-08,1.0,1,good,3.0,,
2019-03-08,2.0,1,good,1.0,,
2019-03-08,3.0,1,good,5.0,,
2019-03-08,4.0,1,good,39.0,,
2019-03-08,5.0,1,good,171.0,,
2019-03-08,6.0,1,good,,,
2019-03-08,7.0,1,good,,,
2019-03-08,8.0,1,good,471.0,,
2019-03-08,9.0,1,good,291.0,,
2019-03-08,10.0,1,good,229.0,,
2019-03-08,11.0,1,good,223.0,,
2019-03-08,12.0,1,good,208.0,,
2019-03-08,13.0,1,good,226.0,,
2019-03-08,14.0,1,good,257.0,,
2019-03-08,16.0,1,good,246.0,,
2019-03-08,17.0,1,good,262.0,,
2019-03-08,18.0,1,good,261.0,,
2019-03-08,19.0,1,good,194.0,,
2019-03-08,20.0,1,good,123.0,,
2019-03-08,21.0,1,good,105.0,,
