date,time,workday,weather,1026-136-1,9000000619-1
2019-03-01,0.0,1,bad,30.0,
2019-03-01,1.0,1,bad,39.0,
2019-03-01,2.0,1,bad,23.0,
2019-03-01,3.0,1,bad,32.0,
2019-03-01,4.0,1,bad,26.0,
2019-03-01,5.0,1,bad,64.0,
2019-03-01,6.0,1,bad,87.0,
2019-03-01,7.0,1,bad,149.0,
2019-03-01,8.0,1,bad,159.0,
2019-03-01,9.0,1,bad,173.0,
2019-03-01,10.0,1,bad,181.0,
2019-03-01,11.0,1,bad,180.0,
2019-03-01,12.0,1,bad,187.0,
2019-03-01,13.0,1,bad,197.0,
2019-03-01,14.0,1,bad,247.0,
2019-03-01,15.0,1,bad,269.0,
2019-03-01,16.0,1,bad,231.0,
2019-03-01,17.0,1,bad,176.0,
2019-03-01,18.0,1,bad,158.0,
2019-03-01,19.0,1,bad,144.0,
2019-03-01,20.0,1,bad,151.0,
2019-03-01,21.0,1,bad,124.0,
2019-03-01,22.0,1,bad,148.0,
2019-03-01,23.0,1,bad,116.0,
2019-03-02,0.0,0,good,93.0,
2019-03-02,1.0,0,good,55.0,
2019-03-02,2.0,0,good,75.0,
2019-03-02,3.0,0,good,51.0,
2019-03-02,4.0,0,good,34.0,
2019-03-02,5.0,0,good,46.0,
2019-03-02,6.0,0,good,45.0,
2019-03-02,7.0,0,good,69.0,
2019-03-02,8.0,0,good,88.0,
2019-03-02,9.0,0,good,128.0,
2019-03-02,10.0,0,good,156.0,
2019-03-02,11.0,0,good,249.0,
2019-03-02,12.0,0,good,229.0,
2019-03-02,13.0,0,good,217.0,
2019-03-02,14.0,0,good,161.0,
2019-03-02,15.0,0,good,138.0,
2019-03-02,16.0,0,good,113.0,
2019-03-02,17.0,0,good,127.0,
2019-03-02,18.0,0,good,116.0,
2019-03-02,19.0,0,good,159.0,
2019-03-02,20.0,0,good,132.0,
2019-03-02,21.0,0,good,130.0,
2019-03-02,22.0,0,good,149.0,
2019-03-02,23.0,0,good,110.0,
2019-03-03,0.0,0,good,76.0,
2019-03-03,1.0,0,good,63.0,
2019-03-03,2.0,0,good,55.0,
2019-03-03,3.0,0,good,54.0,
2019-03-03,4.0,0,good,53.0,
2019-03-03,5.0,0,good,29.0,
2019-03-03,6.0,0,good,34.0,
2019-03-03,7.0,0,good,37.0,
2019-03-03,8.0,0,good,30.0,
2019-03-03,9.0,0,good,57.0,
2019-03-03,10.0,0,good,95.0,
2019-03-03,11.0,0,good,86.0,
2019-03-03,12.0,0,good,110.0,
2019-03-03,13.0,0,good,98.0,
2019-03-03,14.0,0,good,103.0,
2019-03-03,15.0,0,good,94.0,
2019-03-03,16.0,0,good,114.0,
2019-03-03,17.0,0,good,113.0,
2019-03-03,18.0,0,good,118.0,
2019-03-03,19.0,0,good,102.0,
2019-03-03,20.0,0,good,111.0,
2019-03-03,21.0,0,good,76.0,
2019-03-03,22.0,0,good,92.0,
2019-03-03,23.0,0,good,46.0,
2019-03-04,0.0,1,bad,17.0,
2019-03-04,1.0,1,bad,13.0,
2019-03-04,2.0,1,bad,7.0,
2019-03-04,3.0,1,bad,8.0,
2019-03-04,4.0,1,bad,19.0,
2019-03-04,5.0,1,bad,58.0,
2019-03-04,6.0,1,bad,98.0,
2019-03-04,7.0,1,bad,199.0,
2019-03-04,8.0,1,bad,213.0,
2019-03-04,9.0,1,bad,189.0,
2019-03-04,10.0,1,bad,161.0,
2019-03-04,11.0,1,bad,189.0,
2019-03-04,12.0,1,bad,200.0,
2019-03-04,13.0,1,bad,219.0,
2019-03-04,14.0,1,bad,240.0,
2019-03-04,17.0,1,bad,242.0,
2019-03-04,18.0,1,bad,198.0,
2019-03-04,19.0,1,bad,211.0,
2019-03-04,20.0,1,bad,136.0,
2019-03-04,21.0,1,bad,176.0,
2019-03-04,22.0,1,bad,101.0,
2019-03-04,23.0,1,bad,43.0,
2019-03-05,0.0,1,good,25.0,
2019-03-05,1.0,1,good,16.0,
2019-03-05,2.0,1,good,15.0,
2019-03-05,3.0,1,good,12.0,
2019-03-05,4.0,1,good,25.0,
2019-03-05,5.0,1,good,53.0,
2019-03-05,6.0,1,good,88.0,
2019-03-05,7.0,1,good,198.0,
2019-03-05,8.0,1,good,221.0,
2019-03-05,9.0,1,good,176.0,
2019-03-05,10.0,1,good,183.0,
2019-03-05,11.0,1,good,197.0,
2019-03-05,12.0,1,good,225.0,
2019-03-05,13.0,1,good,204.0,
2019-03-05,14.0,1,good,244.0,
2019-03-05,17.0,1,good,251.0,
2019-03-05,18.0,1,good,238.0,
2019-03-05,19.0,1,good,259.0,
2019-03-05,20.0,1,good,148.0,
2019-03-05,21.0,1,good,186.0,
2019-03-05,22.0,1,good,121.0,
2019-03-05,23.0,1,good,75.0,
2019-03-06,0.0,1,good,33.0,
2019-03-06,1.0,1,good,24.0,
2019-03-06,2.0,1,good,25.0,
2019-03-06,3.0,1,good,27.0,
2019-03-06,4.0,1,good,32.0,
2019-03-06,5.0,1,good,68.0,
2019-03-06,6.0,1,good,86.0,
2019-03-06,7.0,1,good,209.0,
2019-03-06,8.0,1,good,210.0,
2019-03-06,9.0,1,good,177.0,
2019-03-06,10.0,1,good,195.0,
2019-03-06,11.0,1,good,196.0,
2019-03-06,12.0,1,good,229.0,
2019-03-06,13.0,1,good,213.0,
2019-03-06,14.0,1,good,263.0,
2019-03-06,17.0,1,good,261.0,
2019-03-06,18.0,1,good,218.0,
2019-03-06,19.0,1,good,178.0,
2019-03-06,20.0,1,good,143.0,
2019-03-06,21.0,1,good,129.0,
2019-03-06,22.0,1,good,115.0,
2019-03-06,23.0,1,good,69.0,
2019-03-07,0.0,1,good,31.0,
2019-03-07,1.0,1,good,25.0,
2019-03-07,2.0,1,good,18.0,
2019-03-07,3.0,1,good,15.0,
2019-03-07,4.0,1,good,22.0,
2019-03-07,5.0,1,good,55.0,
2019-03-07,6.0,1,good,104.0,
2019-03-07,7.0,1,good,193.0,
2019-03-07,8.0,1,good,216.0,
2019-03-07,9.0,1,good,187.0,
2019-03-07,10.0,1,good,189.0,
2019-03-07,11.0,1,good,187.0,
2019-03-07,12.0,1,good,179.0,
2019-03-07,13.0,1,good,248.0,
2019-03-07,14.0,1,good,245.0,
2019-03-07,16.0,1,good,319.0,
2019-03-07,17.0,1,good,264.0,
2019-03-07,18.0,1,good,230.0,
2019-03-07,19.0,1,good,230.0,
2019-03-07,20.0,1,good,169.0,
2019-03-07,21.0,1,good,155.0,
2019-03-07,22.0,1,good,131.0,
2019-03-07,23.0,1,good,78.0,
2019-03-08,0.0,1,good,46.0,
2019-03-08,1.0,1,good,22.0,
2019-03-08,2.0,1,good,24.0,
2019-03-08,3.0,1,good,21.0,
2019-03-08,4.0,1,good,31.0,
2019-03-08,5.0,1,good,60.0,
2019-03-08,6.0,1,good,93.0,
2019-03-08,7.0,1,good,190.0,
2019-03-08,8.0,1,good,236.0,
2019-03-08,9.0,1,good,178.0,
2019-03-08,10.0,1,good,185.0,
2019-03-08,11.0,1,good,212.0,
2019-03-08,12.0,1,good,243.0,
2019-03-08,13.0,1,good,264.0,
