date,time,workday,weather,1025-116-1,9000000619-2
2019-03-01,0.0,1,bad,39.0,
2019-03-01,1.0,1,bad,30.0,
2019-03-01,2.0,1,bad,26.0,
2019-03-01,3.0,1,bad,27.0,
2019-03-01,4.0,1,bad,32.0,
2019-03-01,5.0,1,bad,70.0,
2019-03-01,6.0,1,bad,156.0,
2019-03-01,7.0,1,bad,280.0,
2019-03-01,8.0,1,bad,256.0,
2019-03-01,9.0,1,bad,246.0,
2019-03-01,10.0,1,bad,212.0,
2019-03-01,11.0,1,bad,206.0,
2019-03-01,12.0,1,bad,209.0,
2019-03-01,13.0,1,bad,218.0,
2019-03-01,14.0,1,bad,244.0,
2019-03-01,15.0,1,bad,222.0,
2019-03-01,16.0,1,bad,205.0,
2019-03-01,17.0,1,bad,186.0,
2019-03-01,18.0,1,bad,176.0,
2019-03-01,19.0,1,bad,175.0,
2019-03-01,20.0,1,bad,177.0,
2019-03-01,21.0,1,bad,160.0,
2019-03-01,22.0,1,bad,154.0,
2019-03-01,23.0,1,bad,114.0,
2019-03-02,0.0,0,good,100.0,
2019-03-02,1.0,0,good,72.0,
2019-03-02,2.0,0,good,75.0,
2019-03-02,3.0,0,good,55.0,
2019-03-02,4.0,0,good,52.0,
2019-03-02,5.0,0,good,54.0,
2019-03-02,6.0,0,good,69.0,
2019-03-02,7.0,0,good,99.0,
2019-03-02,8.0,0,good,121.0,
2019-03-02,9.0,0,good,146.0,
2019-03-02,10.0,0,good,287.0,
2019-03-02,11.0,0,good,376.0,
2019-03-02,12.0,0,good,233.0,
2019-03-02,13.0,0,good,181.0,
2019-03-02,14.0,0,good,147.0,
2019-03-02,15.0,0,good,158.0,
2019-03-02,16.0,0,good,141.0,
2019-03-02,17.0,0,good,162.0,
2019-03-02,18.0,0,good,170.0,
2019-03-02,19.0,0,good,181.0,
2019-03-02,20.0,0,good,136.0,
2019-03-02,21.0,0,good,137.0,
2019-03-02,22.0,0,good,135.0,
2019-03-02,23.0,0,good,125.0,
2019-03-03,0.0,0,good,90.0,
2019-03-03,1.0,0,good,76.0,
2019-03-03,2.0,0,good,72.0,
2019-03-03,3.0,0,good,65.0,
2019-03-03,4.0,0,good,65.0,
2019-03-03,5.0,0,good,43.0,
2019-03-03,6.0,0,good,41.0,
2019-03-03,7.0,0,good,37.0,
2019-03-03,8.0,0,good,49.0,
2019-03-03,9.0,0,good,78.0,
2019-03-03,10.0,0,good,104.0,
2019-03-03,11.0,0,good,141.0,
2019-03-03,12.0,0,good,130.0,
2019-03-03,13.0,0,good,117.0,
2019-03-03,14.0,0,good,99.0,
2019-03-03,15.0,0,good,128.0,
2019-03-03,16.0,0,good,138.0,
2019-03-03,17.0,0,good,154.0,
2019-03-03,18.0,0,good,143.0,
2019-03-03,19.0,0,good,124.0,
2019-03-03,20.0,0,good,131.0,
2019-03-03,21.0,0,good,78.0,
2019-03-03,22.0,0,good,74.0,
2019-03-03,23.0,0,good,37.0,
2019-03-04,0.0,1,bad,26.0,
2019-03-04,1.0,1,bad,13.0,
2019-03-04,2.0,1,bad,3.0,
2019-03-04,3.0,1,bad,9.0,
2019-03-04,4.0,1,bad,15.0,
2019-03-04,5.0,1,bad,65.0,
2019-03-04,6.0,1,bad,161.0,
2019-03-04,7.0,1,bad,,
2019-03-04,8.0,1,bad,,
2019-03-04,9.0,1,bad,269.0,
2019-03-04,10.0,1,bad,233.0,
2019-03-04,11.0,1,bad,238.0,
2019-03-04,12.0,1,bad,218.0,
2019-03-04,13.0,1,bad,198.0,
2019-03-04,14.0,1,bad,219.0,
2019-03-04,17.0,1,bad,226.0,
2019-03-04,18.0,1,bad,221.0,
2019-03-04,19.0,1,bad,229.0,
2019-03-04,20.0,1,bad,111.0,
2019-03-04,21.0,1,bad,109.0,
2019-03-04,22.0,1,bad,82.0,
2019-03-04,23.0,1,bad,48.0,
2019-03-05,0.0,1,good,20.0,
2019-03-05,1.0,1,good,23.0,
2019-03-05,2.0,1,good,16.0,
2019-03-05,3.0,1,good,16.0,
2019-03-05,4.0,1,good,25.0,
2019-03-05,5.0,1,good,63.0,
2019-03-05,6.0,1,good,165.0,
2019-03-05,7.0,1,good,,
2019-03-05,8.0,1,good,387.0,
