Date time,Temperature,Conditions,weather
2019-01-01,4.7,Partially cloudy,bad
2019-01-02,2.3,Clear,bad
2019-01-03,2.6,Clear,bad
2019-01-04,1.0,Partially cloudy,bad
2019-01-05,1.1,Clear,bad
2019-01-06,2.5,Clear,bad
2019-01-07,4.1,"Rain, Partially cloudy",bad
2019-01-08,3.8,"Rain, Partially cloudy",bad
2019-01-09,3.3,Partially cloudy,bad
2019-01-10,4.4,Partially cloudy,bad
2019-01-11,1.5,Partially cloudy,bad
2019-01-12,3.6,Partially cloudy,bad
2019-01-13,6.1,Partially cloudy,good
2019-01-14,4.9,Rain,bad
2019-01-15,5.6,Clear,good
2019-01-16,8.0,Partially cloudy,good
2019-01-17,9.4,"Rain, Partially cloudy",bad
2019-01-18,5.0,"Rain, Partially cloudy",bad
2019-01-19,2.3,"Rain, Partially cloudy",bad
2019-01-20,3.3,Partially cloudy,bad
2019-01-21,2.7,Partially cloudy,bad
2019-01-22,2.4,"Rain, Partially cloudy",bad
2019-01-23,1.7,"Rain, Partially cloudy",bad
2019-01-24,4.1,Clear,bad
2019-01-25,1.5,Clear,bad
2019-01-26,1.3,Partially cloudy,bad
2019-01-27,7.9,"Rain, Partially cloudy",bad
2019-01-28,4.8,"Rain, Partially cloudy",bad
2019-01-29,2.5,Rain,bad
2019-01-30,3.8,Partially cloudy,bad
2019-01-31,6.2,"Rain, Partially cloudy",bad
2019-02-01,12.3,"Rain, Partially cloudy",good
2019-02-02,9.4,"Rain, Partially cloudy",bad
2019-02-03,8.4,"Rain, Partially cloudy",bad
2019-02-04,6.0,Clear,good
2019-02-05,7.8,Clear,good
2019-02-06,5.1,Clear,good
2019-02-07,5.5,Partially cloudy,good
2019-02-08,5.6,Clear,good
2019-02-09,7.8,Partially cloudy,good
2019-02-10,10.1,"Rain, Partially cloudy",good
2019-02-11,5.5,"Rain, Partially cloudy",bad
2019-02-12,4.4,Rain,bad
2019-02-13,4.1,Clear,bad
2019-02-14,5.0,Clear,good
2019-02-15,6.2,Clear,good
2019-02-16,5.7,Clear,good
2019-02-17,5.3,Clear,good
2019-02-18,5.2,Clear,good
2019-02-19,7.7,Overcast,bad
2019-02-20,5.7,Partially cloudy,good
2019-02-21,6.0,Partially cloudy,good
2019-02-22,6.6,Clear,good
2019-02-23,4.0,Clear,bad
2019-02-24,6.9,Clear,good
2019-02-25,8.4,Partially cloudy,good
2019-02-26,8.5,Clear,good
2019-02-27,8.0,Clear,good
2019-02-28,7.3,Clear,good
2019-03-01,7.2,Rain,bad
2019-03-02,7.3,Clear,good
2019-03-03,7.4,Partially cloudy,good
2019-03-04,9.9,"Rain, Partially cloudy",bad
2019-03-05,7.9,Clear,good
2019-03-06,12.4,Partially cloudy,good
2019-03-07,14.1,"Rain, Partially cloudy",good
2019-03-08,11.9,Clear,good
2019-03-09,11.6,Clear,good
2019-03-10,12.4,Partially cloudy,good
2019-03-11,6.5,"Rain, Partially cloudy",bad
2019-03-12,7.9,Clear,good
2019-03-13,7.0,"Rain, Partially cloudy",bad
2019-03-14,6.9,Clear,good
2019-03-15,8.7,Clear,good
2019-03-16,12.2,Partially cloudy,good
2019-03-17,13.6,"Rain, Partially cloudy",good
2019-03-18,7.8,"Rain, Partially cloudy",bad
2019-03-19,9.1,"Rain, Partially cloudy",bad
2019-03-20,9.7,Clear,good
2019-03-21,10.1,Clear,good
2019-03-22,11.7,Clear,good
2019-03-23,13.4,Clear,good
2019-03-24,12.1,Clear,good
2019-03-25,11.7,"Rain, Partially cloudy",good
2019-03-26,9.4,Clear,good
2019-03-27,11.0,Clear,good
2019-03-28,11.6,Clear,good
2019-03-29,11.1,Clear,good
2019-03-30,10.2,Clear,good
2019-03-31,13.0,Clear,good
2019-04-01,15.3,Clear,good
2019-04-02,14.8,"Rain, Partially cloudy",good
2019-04-03,14.6,"Rain, Partially cloudy",good
2019-04-04,14.1,"Rain, Partially cloudy",good
2019-04-05,9.0,"Rain, Partially cloudy",bad
2019-04-06,9.8,"Rain, Partially cloudy",bad
2019-04-07,10.8,"Rain, Partially cloudy",good
2019-04-08,11.9,"Rain, Partially cloudy",good
2019-04-09,12.6,"Rain, Partially cloudy",good
2019-04-10,12.1,"Rain, Partially cloudy",good
2019-04-11,11.3,"Rain, Overcast",bad
2019-04-12,9.4,"Rain, Overcast",bad
2019-04-13,10.3,"Rain, Partially cloudy",good
2019-04-14,10.5,Partially cloudy,good
2019-04-15,11.8,Clear,good
2019-04-16,11.0,Clear,good
2019-04-17,12.8,Rain,bad
2019-04-18,13.7,Clear,good
2019-04-19,13.5,Clear,good
2019-04-20,15.0,Clear,good
2019-04-21,13.1,Clear,good
2019-04-22,15.0,"Rain, Partially cloudy",good
2019-04-23,15.0,"Rain, Partially cloudy",good
2019-04-24,16.5,"Rain, Partially cloudy",good
2019-04-25,15.9,Partially cloudy,good
2019-04-26,15.0,"Rain, Partially cloudy",good
2019-04-27,12.9,"Rain, Partially cloudy",good
2019-04-28,10.4,"Rain, Partially cloudy",good
2019-04-29,10.9,"Rain, Partially cloudy",good
2019-04-30,12.8,"Rain, Partially cloudy",good
2019-05-01,13.7,Clear,good
2019-05-02,16.4,"Rain, Partially cloudy",good
2019-05-03,13.2,"Rain, Partially cloudy",good
2019-05-04,13.2,"Rain, Partially cloudy",good
2019-05-05,9.4,"Rain, Partially cloudy",bad
2019-05-06,10.0,Partially cloudy,good
2019-05-07,10.8,Partially cloudy,good
2019-05-08,13.4,"Rain, Partially cloudy",good
2019-05-09,11.8,"Rain, Partially cloudy",good
2019-05-10,14.3,Partially cloudy,good
2019-05-11,15.7,"Rain, Partially cloudy",good
2019-05-12,14.2,"Rain, Partially cloudy",good
2019-05-13,13.8,"Rain, Partially cloudy",good
2019-05-14,10.1,"Rain, Partially cloudy",good
2019-05-15,12.5,"Rain, Partially cloudy",good
2019-05-16,13.0,Clear,good
2019-05-17,13.9,Partially cloudy,good
2019-05-18,15.0,"Rain, Partially cloudy",good
2019-05-19,14.0,"Rain, Partially cloudy",good
2019-05-20,14.5,"Rain, Partially cloudy",good
2019-05-21,15.6,"Rain, Partially cloudy",good
2019-05-22,16.3,Partially cloudy,good
2019-05-23,17.4,"Rain, Partially cloudy",good
2019-05-24,17.6,Rain,bad
2019-05-25,18.0,"Rain, Partially cloudy",good
2019-05-26,17.6,"Rain, Partially cloudy",good
2019-05-27,16.0,"Rain, Partially cloudy",good
2019-05-28,16.8,"Rain, Partially cloudy",good
2019-05-29,14.7,"Rain, Partially cloudy",good
2019-05-30,15.6,"Rain, Partially cloudy",good
2019-05-31,16.7,Rain,bad
2019-06-01,20.6,"Rain, Partially cloudy",good
2019-06-02,20.7,"Rain, Partially cloudy",good
2019-06-03,21.7,Clear,good
2019-06-04,21.3,"Rain, Partially cloudy",good
2019-06-05,21.5,Partially cloudy,good
2019-06-06,21.3,Partially cloudy,good
2019-06-07,20.9,Clear,good
2019-06-08,22.2,Clear,good
2019-06-09,24.0,Clear,good
2019-06-10,25.6,Partially cloudy,good
2019-06-11,26.1,Partially cloudy,good
2019-06-12,25.2,Clear,good
2019-06-13,21.8,Clear,good
2019-06-14,24.9,Partially cloudy,good
2019-06-15,25.0,Rain,bad
2019-06-16,25.1,Rain,bad
2019-06-17,25.4,Clear,good
2019-06-18,24.2,Rain,bad
2019-06-19,24.7,Clear,good
2019-06-20,24.9,Rain,bad
2019-06-21,24.8,Rain,bad
2019-06-22,21.9,"Rain, Partially cloudy",good
2019-06-23,23.7,Rain,bad
2019-06-24,26.3,Clear,good
2019-06-25,28.6,Clear,good
2019-06-26,28.4,Clear,good
2019-06-27,29.1,Clear,good
2019-06-28,27.6,Clear,good
2019-06-29,26.4,Clear,good
2019-06-30,25.2,Clear,good
2019-07-01,25.7,Clear,good
2019-07-02,26.7,Rain,bad
2019-07-03,25.8,"Rain, Partially cloudy",good
2019-07-04,25.0,Clear,good
2019-07-05,25.8,Clear,good
2019-07-06,25.8,"Rain, Partially cloudy",good
2019-07-07,23.8,"Rain, Partially cloudy",good
2019-07-08,23.9,"Rain, Partially cloudy",good
2019-07-09,22.6,"Rain, Partially cloudy",good
2019-07-10,21.8,Clear,good
2019-07-11,21.0,"Rain, Partially cloudy",good
2019-07-12,22.3,Rain,bad
2019-07-13,19.3,Rain,bad
2019-07-14,22.6,Rain,bad
2019-07-15,23.1,Clear,good
2019-07-16,23.6,Clear,good
2019-07-17,24.0,Rain,bad
2019-07-18,23.2,Clear,good
2019-07-19,23.8,Clear,good
2019-07-20,25.2,Clear,good
2019-07-21,26.2,Clear,good
2019-07-22,27.4,Clear,good
2019-07-23,27.5,Clear,good
2019-07-24,27.9,Clear,good
2019-07-25,28.5,Clear,good
2019-07-26,26.7,"Rain, Partially cloudy",good
2019-07-27,23.3,"Rain, Partially cloudy",good
2019-07-28,21.1,"Rain, Partially cloudy",good
2019-07-29,25.0,Clear,good
2019-07-30,26.1,Clear,good
2019-07-31,26.1,Rain,bad
2019-08-01,26.0,Partially cloudy,good
2019-08-02,22.3,"Rain, Partially cloudy",good
2019-08-03,22.9,Rain,bad
2019-08-04,23.4,Clear,good
2019-08-05,24.1,Clear,good
2019-08-06,24.7,"Rain, Partially cloudy",good
2019-08-07,25.9,"Rain, Partially cloudy",good
2019-08-08,25.3,Rain,bad
2019-08-09,25.5,Clear,good
2019-08-10,27.1,Clear,good
2019-08-11,27.8,Clear,good
2019-08-12,28.1,Partially cloudy,good
2019-08-13,24.2,"Rain, Partially cloudy",good
2019-08-14,21.8,Rain,bad
2019-08-15,23.0,Rain,bad
2019-08-16,22.7,Rain,bad
2019-08-17,22.4,Clear,good
2019-08-18,23.6,Clear,good
2019-08-19,24.9,Clear,good
2019-08-20,26.1,Clear,good
2019-08-21,25.6,"Rain, Partially cloudy",good
2019-08-22,25.0,"Rain, Partially cloudy",good
2019-08-23,25.7,"Rain, Partially cloudy",good
2019-08-24,24.4,Rain,bad
2019-08-25,26.2,Clear,good
2019-08-26,25.7,Rain,bad
2019-08-27,26.0,Rain,bad
2019-08-28,25.8,Clear,good
2019-08-29,26.2,"Rain, Partially cloudy",good
2019-08-30,27.7,Rain,bad
2019-08-31,26.4,Rain,bad
2019-09-01,25.4,Clear,good
2019-09-02,23.0,"Rain, Partially cloudy",good
2019-09-03,20.2,Clear,good
2019-09-04,21.2,Clear,good
2019-09-05,24.1,Clear,good
2019-09-06,18.3,"Rain, Partially cloudy",good
2019-09-07,18.9,"Rain, Partially cloudy",good
2019-09-08,17.0,"Rain, Partially cloudy",good
2019-09-09,16.7,Rain,bad
2019-09-10,19.2,Clear,good
2019-09-11,20.7,Clear,good
2019-09-12,21.7,Clear,good
2019-09-13,21.8,Clear,good
2019-09-14,22.7,Clear,good
2019-09-15,21.2,Clear,good
2019-09-16,21.4,Clear,good
2019-09-17,21.7,"Rain, Partially cloudy",good
2019-09-18,18.3,Partially cloudy,good
2019-09-19,15.6,Clear,good
2019-09-20,15.2,Clear,good
2019-09-21,15.7,Clear,good
2019-09-22,16.9,"Rain, Partially cloudy",good
2019-09-23,17.3,"Rain, Partially cloudy",good
2019-09-24,17.8,Clear,good
2019-09-25,17.1,"Rain, Partially cloudy",good
2019-09-26,17.4,Clear,good
2019-09-27,19.5,"Rain, Partially cloudy",good
2019-09-28,20.8,"Rain, Partially cloudy",good
2019-09-29,20.5,Partially cloudy,good
2019-09-30,21.0,Partially cloudy,good
2019-10-01,21.0,"Rain, Partially cloudy",good
2019-10-02,16.1,"Rain, Partially cloudy",good
2019-10-03,12.7,Rain,bad
2019-10-04,14.6,Partially cloudy,good
2019-10-05,15.1,Clear,good
2019-10-06,15.2,"Rain, Partially cloudy",good
2019-10-07,13.7,Clear,good
2019-10-08,14.6,Clear,good
2019-10-09,18.1,"Rain, Partially cloudy",good
2019-10-10,15.2,Rain,bad
2019-10-11,16.2,Clear,good
2019-10-12,17.0,Partially cloudy,good
2019-10-13,16.1,Clear,good
2019-10-14,16.3,Partially cloudy,good
2019-10-15,18.3,"Rain, Partially cloudy",good
2019-10-16,15.3,Clear,good
