Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Ljubljana,Slovenia","01/01/2021",2.2,4.5,3.4,2.4,93.1,,7.2,19.1,147.54,1.0,18.58,12.5,14.15,17.2,46.3,1013.0,"Drizzle, Heavy Snow, Light Snow, Light Drizzle, Heavy Drizzle/Rain, Light Drizzle/Rain, Mist, Rain, Heavy Rain And Snow, Rain Showers, Heavy Rain, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/02/2021",0.7,5.9,3.6,2.6,93.03,,10.1,19.4,177.71,-0.8,37.45,12.5,15.6,20.2,40.2,1011.0,"Drizzle, Heavy Snow, Light Snow, Light Drizzle/Rain, Fog, Light Freezing Drizzle/Freezing Rain, Light Freezing Rain, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/03/2021",3.0,4.5,3.8,2.5,91.35,,9.4,16.5,291.96,0.4,2.0,12.5,12.73,13.0,48.5,1012.4,"Drizzle, Mist, Light Snow, Light Drizzle, Rain, Light Drizzle/Rain, Light Rain And Snow, Fog, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/04/2021",1.1,4.9,3.4,2.1,91.18,,10.8,18.0,233.5,0.8,5.09,12.5,11.77,9.1,64.1,1011.9,"Snow Showers, Drizzle, Light Snow, Mist, Light Drizzle, Rain, Fog, Rain Showers, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/05/2021",-0.8,5.5,2.2,0.9,91.08,,7.2,14.4,147.91,-1.7,15.72,8.33,2.68,9.6,60.3,1010.3,"Snow And Rain Showers, Ice, Heavy Snow, Mist, Light Snow, Light Drizzle, Rain, Heavy Rain And Snow, Light Rain And Snow, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/06/2021",-0.2,2.1,0.9,0.2,95.58,,10.8,9.7,139.04,-3.5,5.43,12.5,29.52,7.5,52.5,1013.6,"Ice, Snow Showers, Heavy Snow, Mist, Light Snow, Light Drizzle, Light Rain And Snow, Rain Showers, Fog, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/07/2021",-2.6,2.5,1.1,0.0,92.21,,7.2,14.8,255.96,-5.1,0.89,8.33,28.33,9.0,57.4,1015.4,"Snow Showers, Drizzle, Mist, Light Snow, Light Drizzle, Rain, Light Rain And Snow, Fog, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/08/2021",-3.7,1.5,-1.1,-2.1,92.54,,7.2,11.9,150.42,-6.8,4.99,8.33,29.8,17.0,38.2,1019.7,"Light Snow, Mist, Rain, Fog, Sky Unchanged, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/09/2021",-1.7,1.0,-0.5,-3.8,78.15,,9.4,16.9,193.04,-4.8,0.0,0.0,27.93,33.7,41.4,1022.4,"Light Snow, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/10/2021",-1.1,0.4,-0.6,-4.2,76.64,,12.5,25.2,83.04,-4.6,2.98,12.5,2.08,15.0,44.7,1021.6,"Light Snow, Mist, Rain, Light Rain And Snow, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/11/2021",-6.4,1.5,-3.3,-6.2,81.58,,8.3,20.2,158.92,-10.0,0.0,0.0,2.02,19.6,29.9,1021.8,"Mist, Fog, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/12/2021",-5.4,-1.6,-3.8,-5.9,85.34,,5.8,10.8,199.46,-6.1,0.2,4.17,1.97,11.7,39.6,1014.9,"Mist, Sky Coverage Decreasing, Sky Unchanged, Smoke Or Haze, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/13/2021",-4.5,2.9,-1.7,-4.8,79.97,,7.2,18.0,185.13,-5.5,0.1,4.17,26.99,22.3,21.5,1013.9,"Mist, Light Snow, Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain"
"Ljubljana,Slovenia","01/14/2021",-6.1,5.5,-1.3,-6.6,69.37,,10.8,25.3,187.08,-8.2,0.2,4.17,24.25,40.5,23.1,1017.7,"Light Snow, Sky Coverage Increasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain"
"Ljubljana,Slovenia","01/15/2021",-7.1,2.9,-3.0,-7.4,73.06,,8.7,13.0,183.75,-9.0,0.0,0.0,24.19,36.9,20.9,1022.3,"Mist",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana,Slovenia","01/16/2021",-7.3,0.5,-4.4,-7.6,78.55,,7.2,10.8,176.38,-6.2,0.1,4.17,24.94,22.9,20.1,1020.6,"Mist",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain"
"Ljubljana,Slovenia","01/17/2021",-5.3,0.4,-2.7,-5.9,78.48,,14.7,11.5,179.71,-6.8,0.0,0.0,21.09,15.3,40.0,1022.7,"Mist, Light Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/18/2021",-5.6,2.1,-2.0,-5.9,75.69,,7.5,12.6,200.13,-9.2,0.0,0.0,20.89,19.4,32.0,1025.7,"Mist",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/19/2021",-1.3,6.0,3.3,-2.1,68.24,,12.2,29.1,253.42,-4.5,0.2,4.17,19.01,22.4,56.9,1021.9,"Mist, Light Snow, Heavy Drizzle, Light Drizzle, Light Drizzle/Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/20/2021",0.8,8.0,4.4,2.3,86.47,,14.4,32.4,291.17,-1.3,1.05,12.5,12.85,16.0,76.9,1017.0,"Drizzle, Light Snow, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Heavy Rain And Snow, Rain Showers, Light Rain, Sky Coverage Increasing, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Overcast"
"Ljubljana,Slovenia","01/21/2021",1.9,10.7,5.6,4.2,91.07,,13.9,18.0,201.38,0.1,29.33,20.83,245.0,14.1,68.5,1010.4,"Heavy Snow, Drizzle, Light Drizzle, Light Drizzle/Rain, Hail, Ice, Mist, Rain, Heavy Rain And Snow, Rain Showers, Heavy Rain, Light Rain, Sky Unchanged, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/22/2021",7.1,12.9,8.9,7.3,90.54,,18.0,37.7,191.08,5.4,54.7,12.5,245.0,14.8,46.2,999.6,"Heavy Snow, Drizzle, Light Snow, Light Drizzle, Heavy Drizzle/Rain, Light Drizzle/Rain, Hail, Ice, Rain, Heavy Rain And Snow, Rain Showers, Heavy Rain, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/23/2021",2.5,6.9,4.8,3.5,91.44,,10.6,21.6,220.21,0.7,24.87,12.5,0.37,17.1,41.3,997.3,"Drizzle, Heavy Snow, Light Snow, Light Drizzle, Heavy Drizzle/Rain, Light Drizzle/Rain, Fog, Mist, Rain, Heavy Rain And Snow, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/24/2021",-0.5,3.8,1.2,0.2,93.35,,8.8,49.7,243.46,-1.5,11.0,25.0,11.89,16.1,57.3,1001.8,"Drizzle, Heavy Snow, Light Snow, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Fog, Heavy Rain, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/25/2021",-1.0,2.0,0.1,-1.8,87.06,,12.8,15.8,257.38,-3.1,0.62,4.17,11.77,9.8,56.8,1009.0,"Mist, Light Snow, Rain Showers, Fog",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/26/2021",-2.9,0.8,-1.4,-3.0,88.61,,7.2,14.4,203.04,-5.6,0.4,4.17,123.43,10.6,53.5,1018.1,"Mist, Fog",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/27/2021",-3.1,2.0,-1.2,-3.3,86.1,,7.2,12.6,160.75,-3.8,0.0,0.0,122.06,14.0,35.2,1016.7,"Mist, Diamond Dust, Fog",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","01/28/2021",-0.4,4.9,2.8,-1.8,71.79,,14.4,39.5,235.13,-1.6,0.2,4.17,260.0,22.7,49.0,1008.9,"Drizzle, Light Drizzle, Light Rain, Sky Unchanged, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/29/2021",0.2,4.2,2.1,1.2,93.49,,7.2,18.0,159.54,-1.6,4.01,8.33,260.0,7.5,23.6,1003.2,"Drizzle, Light Snow, Mist, Light Drizzle, Rain Showers, Fog, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain"
"Ljubljana,Slovenia","01/30/2021",0.4,6.2,3.4,2.0,90.45,,14.7,24.1,152.42,-1.3,12.4,8.33,11.98,14.6,41.4,1000.9,"Light Snow, Light Drizzle, Heavy Drizzle/Rain, Light Drizzle/Rain, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","01/31/2021",-3.7,1.0,0.0,-2.0,86.64,,12.1,14.8,151.08,-6.2,9.88,12.5,4.0,14.7,40.6,1003.7,"Snow Showers, Drizzle, Light Snow, Mist, Rain Showers, Fog, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","02/01/2021",-0.8,2.9,0.7,-1.2,87.69,,10.8,13.3,203.87,-2.5,0.0,0.0,12.69,13.5,21.6,1007.0,"Mist, Fog",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana,Slovenia","02/02/2021",1.2,5.6,4.2,1.7,84.06,,14.4,10.8,155.0,1.3,0.0,0.0,265.0,18.8,47.0,1014.0,"Mist, Light Drizzle, Fog, Light Rain",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana,Slovenia","02/03/2021",7.1,11.0,9.6,6.5,81.26,,12.2,33.4,294.75,6.9,2.24,12.5,260.0,20.8,62.7,1012.7,"Drizzle, Mist, Light Drizzle, Heavy Drizzle/Rain, Rain, Heavy Rain And Snow, Light Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
"Ljubljana,Slovenia","02/04/2021",6.1,12.5,10.3,6.8,79.38,,9.2,20.5,277.58,4.2,0.2,8.33,255.0,21.2,55.8,1017.6,"Drizzle, Light Drizzle, Heavy Drizzle/Rain, Light Drizzle/Rain, Fog, Light Rain",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Rain, Partially cloudy"
