Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Koper,Slovenia","01/01/2021",7.9,11.2,9.1,6.8,85.87,,19.5,33.8,103.71,6.1,24.33,16.67,1.0,19.5,91.9,1009.9,"Light Drizzle, Rain, Light Drizzle/Rain, Light Rain, Sky Coverage Increasing",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Rain, Overcast"
"Koper,Slovenia","01/02/2021",5.9,11.9,8.5,6.2,85.91,,18.9,40.7,108.17,3.6,38.2,16.67,0.0,19.9,72.9,1007.4,"Heavy Snow, Light Drizzle, Thunderstorm, Thunderstorm Without Precipitation, Fog, Lightning Without Thunder, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Snow",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Rain, Partially cloudy"
"Koper,Slovenia","01/03/2021",3.7,12.7,6.6,4.3,86.2,,16.7,20.7,104.92,0.0,3.2,8.33,0.0,21.1,76.4,1010.2,"Mist, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Decreasing",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Rain, Overcast"
"Koper,Slovenia","01/04/2021",2.8,8.6,5.5,3.9,89.59,,15.8,19.4,114.79,-1.1,1.85,12.5,0.0,21.1,69.0,1010.5,"Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Rain, Partially cloudy"
"Koper,Slovenia","01/05/2021",4.7,8.2,6.4,4.0,85.19,,12.8,22.1,89.29,1.9,11.65,12.5,1.42,21.2,82.5,1008.1,"Snow And Rain Showers, Light Snow, Mist, Light Drizzle, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Rain, Overcast"
"Koper,Slovenia","01/06/2021",3.7,8.5,5.5,3.4,86.44,,12.9,18.5,131.29,0.5,18.93,12.5,5.0,16.6,86.0,1012.6,"Drizzle, Lightning Without Thunder, Mist, Light Drizzle, Thunderstorm, Rain, Thunderstorm Without Precipitation, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Rain, Overcast"
"Koper,Slovenia","01/07/2021",1.9,8.5,4.5,2.7,88.54,,17.3,17.8,122.42,-0.9,0.0,0.0,4.0,10.9,77.9,1012.8,"Mist, Light Snow, Rain, Light Drizzle/Rain, Fog, Sky Coverage Increasing",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Overcast"
"Koper,Slovenia","01/08/2021",-1.7,7.9,2.4,-3.2,67.09,,22.0,27.9,97.67,-5.5,0.2,4.17,3.0,21.0,11.6,1015.3,"Light Snow, Sky Coverage Increasing",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Rain"
"Koper,Slovenia","01/09/2021",3.4,5.8,4.4,-3.9,54.81,,30.5,45.3,66.13,-0.4,0.0,0.0,3.0,22.9,80.9,1017.5,"Light Snow, Sky Coverage Increasing",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Overcast"
"Koper,Slovenia","01/10/2021",1.8,5.0,3.3,-5.4,52.92,,37.2,49.6,48.38,-4.3,0.7,8.33,5.0,22.6,56.1,1017.0,"Light Snow, Mist, Sky Coverage Increasing, Snow",45.5398,13.7333,"Koper, Slovenija","Koper, Slovenija","","Rain, Partially cloudy"
