route,label,features,model,MSE_train,MSE_test,max_error_train,max_error_test,R2_train,R2_test,best_params,best_score
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",krr,3486.0454565554555,4763.952645952913,278.75309193798057,292.7459984449142,0.6901073518272153,0.5774029659343833,"{'alpha': 0.01, 'gamma': 0.1, 'kernel': 'chi2'}",0.7372515380302274
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",svr,3685.792295122009,4773.0731524452385,270.90043135387214,295.99877071173546,0.642703607638478,0.5456654424530187,"{'C': 100.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.7322062997811996
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",rfr,3344.0280568242993,4763.616359890357,295.1459209591193,280.38939411374326,0.7103183199237415,0.6018418053312147,{'max_depth': 6},0.7232765090024117
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",gpr,3457.2312238460518,4762.281208801211,272.9912380230088,289.65476298060986,0.6971495238654088,0.5805315753727593,"{'alpha': 0.1, 'kernel': RBF(length_scale=0.1)}",0.7350855440366122
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",bayes,4381.709117660951,5591.5864920419335,245.5554564403227,290.50707219414033,0.5831534581850315,0.4692440248449733,"{'alpha_init': 1e-05, 'lambda_init': 0.1}",0.7011010472269927
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",knn,3563.7619959266804,4970.343886255924,310.20000000000005,287.2,0.6679743558449609,0.5550026459355486,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.7235568248221211
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",elastic,4381.660907156563,5592.815250619838,245.48062394160138,290.4817654553248,0.5835738462397838,0.4696902108890131,"{'alpha': 0.001, 'l1_ratio': 0.5}",0.7011114677501166
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",lasso,4381.534276097863,5599.453598179957,245.09425265098264,290.37345860663413,0.5856536444947293,0.47187210018600323,{'alpha': 0.01},0.7011037348748754
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",ada,3327.1204887983704,4785.121327014217,282.0,282.0,0.7090229047696512,0.5871414835496678,"{'base_estimator': KNeighborsRegressor(), 'learning_rate': 0.001, 'n_estimators': 200, 'random_state': 1}",0.7175958911787721
Dunajska (from centre),1003-116-1,"['workday', 'weather', 'time_x', 'time_y']",bag,3329.0801303136454,4872.304896075826,279.08799999999985,282.5559999999999,0.7055404658304967,0.5734140503405856,"{'base_estimator': KNeighborsRegressor(), 'n_estimators': 50}",0.7188202436390048
